Refseq_protID_human,Refseq_protID_Phha,gene_symbol_Phha,description_Phha,gene_symbol_human,description_human,,
NP_001257572,XP_045711721.1,LOC123829829,putative RNA-binding protein Luc7-like 2 isoform X1,LUC7L2,LUC7 like 2, pre-mRNA splicing factor,
NP_001257889,XP_045712346.1,LOC123830300,nitric oxide synthase-interacting protein,NOSIP,nitric oxide synthase interacting protein,,
NP_001258489,XP_045695420.1,LOC123819140,UPF0472 protein C16orf72 isoform X2,HAPSTR2,HUWE1 associated protein modifying stress responses 2,,
NP_001258631,XP_045698382.1,LOC123821135,LOW QUALITY PROTEIN: annexin A8-like,ANXA8,annexin A8,,
NP_001258753,XP_045697723.1,LOC123820809,serpin B6-like isoform X2,SERPINB6,serpin family B member 6,,
NP_001258833,XP_045679689.1,LOC123808846,GSK3B-interacting protein,GSKIP,GSK3B interacting protein,,
NP_001258871,XP_045674311.1,LOC123805651,tripartite motif-containing protein 77-like isoform X2,TRIM77,tripartite motif containing 77,,
NP_001258982,XP_045690264.1,LOC123815752,MORF4 family-associated protein 1,MRFAP1,Morf4 family associated protein 1,,
NP_001258991,XP_045686631.1,LOC123813599,LOW QUALITY PROTEIN: melanoma-associated antigen D4-like,MAGED4,MAGE family member D4,,
NP_001263183,XP_045702598.1,LOC123823683,LOW QUALITY PROTEIN: interferon lambda-4-like,IFNL4,interferon lambda 4 (gene/pseudogene),,
NP_001263651,XP_045681776.1,LOC123810226,intraflagellar transport-associated protein,IFTAP,intraflagellar transport associated protein,,
NP_001264154,XP_045690499.1,LOC123815851,cytosolic beta-glucosidase-like,GBA3,glucosylceramidase beta 3 (gene/pseudogene),,
NP_001264929,XP_045703410.1,LOC123824324,lysophosphatidic acid receptor 4,LPAR4,lysophosphatidic acid receptor 4,,
NP_001265424,XP_045689804.1,LOC123815548,NUT family member 2G-like,NUTM2B,NUT family member 2B,,
NP_001268659,XP_045688580.1,LOC123814707,cystatin-8-like,CST8,cystatin 8,,
NP_001268675,XP_045699831.1,LOC123822047,muscular LMNA-interacting protein isoform X8,MLIP,muscular LMNA interacting protein,,
NP_001269351,XP_045707096.1,LOC123826900,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5-like,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5,,
NP_001269621,XP_045694700.1,LOC123818502,dimethylaniline monooxygenase [N-oxide-forming] 1-like,FMO1,flavin containing dimethylaniline monoxygenase 1,,
NP_001269916,XP_045697043.1,LOC123820391,dehydrogenase/reductase SDR family member 4-like 2 isoform X2,DHRS4,dehydrogenase/reductase 4,,
NP_001271352,XP_045713258.1,LOC123830767,rab effector MyRIP,MYRIP,myosin VIIA and Rab interacting protein,,
NP_001273443,XP_045685777.1,LOC123812908,activating transcription factor 7-interacting protein 1 isoform X3,ATF7IP,activating transcription factor 7 interacting protein,,
NP_001274419,XP_045714801.1,LOC123831721,aurora kinase A and ninein-interacting protein isoform X2,AUNIP,aurora kinase A and ninein interacting protein,,
NP_001275647,XP_045692512.1,LOC123817091,LOW QUALITY PROTEIN: signal transducer and activator of transcription 5A-like,STAT5A,signal transducer and activator of transcription 5A,,
NP_001275914,XP_045691829.1,LOC123816719,ABC-type organic anion transporter ABCA8-like isoform X1,ABCA8,ATP binding cassette subfamily A member 8,,
NP_001276009,XP_045713066.1,LOC123830642,LOW QUALITY PROTEIN: contactin-6-like,CNTN6,contactin 6,,
NP_001276841,XP_045690782.1,LOC123816089,casein kinase I isoform X1,TPTEP2-CSNK1E,TPTEP2-CSNK1E readthrough,,
NP_001278213,XP_045713310.1,LOC123830786,transmembrane reductase CYB561D2,CYB561D2,cytochrome b561 family member D2,,
NP_001286,XP_045712534.1,LOC123830403,LOW QUALITY PROTEIN: C-C chemokine receptor type 1-like,CCR1,C-C motif chemokine receptor 1,,
NP_001287758,XP_045687037.1,LOC123813770,cold-inducible RNA-binding protein isoform X2,CIRBP,cold inducible RNA binding protein,,
NP_001289474,XP_045709476.1,LOC123828487,angio-associated migratory cell protein isoform X1,AAMP,angio associated migratory cell protein,,
NP_001289686,XP_045702511.1,LOC123823635,LOW QUALITY PROTEIN: putative transcription factor ovo-like protein 3,OVOL3,ovo like zinc finger 3,,
NP_001289686,XP_045702510.1,LOC123823634,putative transcription factor ovo-like protein 3 isoform X3,OVOL3,ovo like zinc finger 3,,
NP_001289699,XP_045713654.1,LOC123831050,beta-casein-like,CSN2,casein beta,,
NP_001289755,XP_045698452.1,LOC123821262,NADH-cytochrome b5 reductase 2,CYB5R2,cytochrome b5 reductase 2,,
NP_001289972,XP_045675399.1,LOC123806358,TSC22 domain family protein 4 isoform X1,TSC22D4,TSC22 domain family member 4,,
NP_001290425,XP_045684040.1,LOC123811685,sterile alpha motif domain-containing protein 9-like,SAMD9L,sterile alpha motif domain containing 9 like,,
NP_001293,XP_045715727.1,LOC123832208,cortistatin-like,CORT,cortistatin,,
NP_001295091,XP_045709032.1,LOC123828251,nuclear body protein SP140-like protein isoform X4,SP140L,SP140 nuclear body protein like,,
NP_001299582,XP_045706632.1,LOC123826646,histone H2B type 1-K-like,H2BC12,H2B clustered histone 12,,
NP_001299582,XP_045706635.1,LOC123826650,histone H2B type 1-K,H2BC12,H2B clustered histone 12,,
NP_001299800,XP_045716564.1,LOC123832787,cytochrome c oxidase assembly protein COX20%2C mitochondrial,COX20,cytochrome c oxidase assembly factor COX20,,
NP_001304006,XP_045672469.1,LOC123804339,chromatin target of PRMT1 protein isoform X6,CHTOP,chromatin target of PRMT1,,
NP_001304036,XP_045679141.1,LOC123808503,LOW QUALITY PROTEIN: olfactory receptor 4E1,OR4E1,olfactory receptor family 4 subfamily E member 1,,
NP_001304036,XP_045679633.1,LOC123808818,LOW QUALITY PROTEIN: olfactory receptor 4E1-like,OR4E1,olfactory receptor family 4 subfamily E member 1,,
NP_001304928,XP_045695714.1,LOC123819411,C-type lectin domain family 6 member A-like isoform X3,CLEC6A,C-type lectin domain containing 6A,,
NP_001305150,XP_045705202.1,LOC123825647,alpha-hemoglobin-stabilizing protein,AHSP,alpha hemoglobin stabilizing protein,,
NP_001305715,XP_045674920.1,LOC123806008,cytochrome c oxidase subunit 4 isoform 1%2C mitochondrial,COX4I1,cytochrome c oxidase subunit 4I1,,
NP_001305965,XP_045683961.1,LOC123811641,cytochrome c oxidase subunit 7A-related protein%2C mitochondrial,COX7A2L,cytochrome c oxidase subunit 7A2 like,,
NP_001306047,XP_045709416.1,LOC123828456,aspartyl aminopeptidase isoform X1,DNPEP,aspartyl aminopeptidase,,
NP_001306966,XP_045696768.1,LOC123820097,uncharacterized protein LOC123820097,LOC730098,uncharacterized LOC730098,,
NP_001307501,XP_045686725.1,LOC123813653,scaffold attachment factor B1 isoform X2,SAFB,scaffold attachment factor B,,
NP_001307605,XP_045678083.1,LOC123807980,histone-lysine N-methyltransferase SETMAR-like,SETMAR,SET domain and mariner transposase fusion gene,,
NP_001307696,XP_045704832.1,LOC123825475,zinc finger protein 544-like,ZNF544,zinc finger protein 544,,
NP_001307894,XP_045701482.1,LOC123823149,vigilin,HDLBP,high density lipoprotein binding protein,,
NP_001308128,XP_045684828.1,LOC123812169,cytochrome c oxidase assembly factor 1 homolog,COA1,cytochrome c oxidase assembly factor 1,,
NP_001308668,XP_045684307.1,LOC123811849,meiosis 1 arrest protein,M1AP,meiosis 1 associated protein,,
NP_001309215,XP_045705566.1,LOC123825958,zinc finger protein 396-like,ZNF396,zinc finger protein 396,,
NP_001309299,XP_045682054.1,LOC123810398,mucin-21-like,MUC21,mucin 21, cell surface associated,
NP_001310008,XP_045703352.1,LOC123824288,heat shock transcription factor%2C X-linked member 3-like,HSFX3,heat shock transcription factor family, X-linked member 3,
NP_001310222,XP_045713272.1,LOC123830775,zinc finger protein 197,ZNF197,zinc finger protein 197,,
NP_001311002,XP_045693006.1,LOC123817376,protein CD300H-like,CD300H,CD300H molecule (gene/pseudogene),,
NP_001311154,XP_045703503.1,LOC123824399,putative P2Y purinoceptor 10,P2RY10,P2Y receptor family member 10,,
NP_001315577,XP_045715923.1,LOC123832298,phosphatidylinositol 3-kinase regulatory subunit gamma isoform X2,PIK3R3,phosphoinositide-3-kinase regulatory subunit 3,,
NP_001316999,XP_045680197.1,LOC123809248,C-type lectin domain family 10 member A-like isoform X1,CLEC10A,C-type lectin domain containing 10A,,
NP_001317168,XP_045680690.1,LOC123809588,tight junction protein ZO-1 isoform X1,TJP1,tight junction protein 1,,
NP_001317350,XP_045693484.1,LOC123817702,transmembrane ascorbate-dependent reductase CYB561,CYB561,cytochrome b561,,
NP_001321,XP_045705096.1,LOC123825598,cardiotrophin-1-like,CTF1,cardiotrophin 1,,
NP_001332876,XP_045702562.1,LOC123823657,zinc finger protein 383,ZNF383,zinc finger protein 383,,
NP_001333866,XP_045702595.1,LOC123823679,interferon lambda-3-like,IFNL3,interferon lambda 3,,
NP_001334025,XP_045695576.1,LOC123819310,ubiquilin-3-like,UBQLN3,ubiquilin 3,,
NP_001334394,XP_045714773.1,LOC123831699,uncharacterized protein LOC123831699,C1QA,complement C1q A chain,,
NP_001334641,XP_045710315.1,LOC123828903,protein FRA10AC1 isoform X2,FRA10AC1,FRA10A associated CGG repeat 1,,
NP_001335159,XP_045714327.1,LOC123831489,olfactory receptor 5AL1-like,OR5AL1,olfactory receptor family 5 subfamily AL member 1 (gene/pseudogene),,
NP_001335162,XP_045697084.1,LOC123820412,LOW QUALITY PROTEIN: olfactory receptor 6J1,OR6J1,olfactory receptor family 6 subfamily J member 1,,
NP_001335184,XP_045695389.1,LOC123819112,small integral membrane protein 10-like protein 2A,SMIM10L2B,small integral membrane protein 10 like 2B,,
NP_001335202,XP_045679317.1,LOC123808593,olfactory receptor 11H7,OR11H7,olfactory receptor family 11 subfamily H member 7 (gene/pseudogene),,
NP_001335270,XP_045716936.1,LOC123833017,syntenin-1 isoform X1,SDCBP,syndecan binding protein,,
NP_001335914,XP_045676104.1,LOC123806801,broad substrate specificity ATP-binding cassette transporter ABCG2-like,ABCG2,ATP binding cassette subfamily G member 2 (JR blood group),,
NP_001336860,XP_045694311.1,LOC123818290,torsin-1A-interacting protein 2,TOR1AIP2,torsin 1A interacting protein 2,,
NP_001338471,XP_045696226.1,LOC123819749,transducin-like enhancer protein 4 isoform X1,TLE4,TLE family member 4, transcriptional corepressor,
NP_001338533,XP_045695400.1,LOC123819117,integrator complex subunit 6-like isoform X4,INTS6L,integrator complex subunit 6 like,,
NP_001339590,XP_045681156.1,LOC123809956,nucleobindin-2 isoform X2,NUCB2,nucleobindin 2,,
NP_001339702,XP_045693134.1,LOC123817475,junction plakoglobin,JUP,junction plakoglobin,,
NP_001340553,XP_045707846.1,LOC123827375,SREBP regulating gene protein-like,SPRING1,SREBF pathway regulator in golgi 1,,
NP_001340896,XP_045683555.1,LOC123811466,STAM-binding protein isoform X1,STAMBP,STAM binding protein,,
NP_001340973,XP_045683776.1,LOC123811567,WD repeat-containing and planar cell polarity effector protein fritz homolog,WDPCP,WD repeat containing planar cell polarity effector,,
NP_001342142,XP_045716148.1,LOC123832517,olfactory receptor 149-like,OR10D3,olfactory receptor family 10 subfamily D member 3,,
NP_001342148,XP_045716311.1,LOC123832604,olfactory receptor 10G6,OR10G6,olfactory receptor family 10 subfamily G member 6,,
NP_001343,XP_045712123.1,LOC123830183,D site-binding protein,DBP,D-box binding PAR bZIP transcription factor,,
NP_001343299,XP_045717391.1,LOC123833303,ly-6/neurotoxin-like protein 1,LYNX1,Ly6/neurotoxin 1,,
NP_001345347,XP_045677216.1,LOC123807442,LOW QUALITY PROTEIN: putative protein FAM90A16P/FAM90A17P,FAM90A26,family with sequence similarity 90 member A26,,
NP_001345593,XP_045675829.1,LOC123806631,glutathione S-transferase theta-4-like,GSTT4,glutathione S-transferase theta 4,,
NP_001346123,XP_045681815.1,LOC123810280,LOW QUALITY PROTEIN: DLA class II histocompatibility antigen%2C DR-1 beta chain,HLA-DRB1,major histocompatibility complex, class II, DR beta 1
NP_001349421,XP_045694202.1,LOC123818245,carcinoembryonic antigen-related cell adhesion molecule 6-like,CEACAM4,CEA cell adhesion molecule 4,,
NP_001350486,XP_045697349.1,LOC123820575,olfactory receptor 10J1-like,OR10J1,olfactory receptor family 10 subfamily J member 1,,
NP_001351496,XP_045704289.1,LOC123824895,general transcription factor IIH subunit 2,GTF2H2,general transcription factor IIH subunit 2,,
NP_001352233,XP_045705131.1,LOC123825620,keratin-associated protein 10-10,LOC112694756,uncharaterized LOC112694756,,
NP_001352717,XP_045678770.1,LOC123808266,acyl-coenzyme A thioesterase 6-like,ACOT6,acyl-CoA thioesterase 6,,
NP_001353127,XP_045706035.1,LOC123826146,serpin B8-like,SERPINB8,serpin family B member 8,,
NP_001354491,XP_045675348.1,LOC123806339,NADPH--cytochrome P450 reductase,POR,cytochrome p450 oxidoreductase,,
NP_001355094,XP_045706858.1,LOC123826800,casein kinase II subunit alpha'-interacting protein,CSNKA2IP,casein kinase 2 subunit alpha' interacting protein,,
NP_001355231,XP_045675534.1,LOC123806440,general transcription factor II-I repeat domain-containing protein 2B isoform X5,GTF2IRD2B,GTF2I repeat domain containing 2B,,
NP_001356450,XP_045682169.1,LOC123810452,E3 ubiquitin-protein ligase TRIM39,TRIM39,tripartite motif containing 39,,
NP_001356586,XP_045674862.1,LOC123805980,dipeptidase 2-like isoform X1,DPEP2,dipeptidase 2,,
NP_001356727,XP_045686343.1,LOC123813397,cytochrome c oxidase subunit 6B2,COX6B2,cytochrome c oxidase subunit 6B2,,
NP_001357121,XP_045674219.1,LOC123805604,immunoglobulin-binding protein 1-like,IGBP1,immunoglobulin binding protein 1,,
NP_001357127,XP_045674867.1,LOC123805982,dipeptidase 3-like,DPEP3,dipeptidase 3,,
NP_001357154,XP_045712941.1,LOC123830592,ubiquitin-conjugating enzyme E2 E2,UBE2E2,ubiquitin conjugating enzyme E2 E2,,
NP_001357376,XP_045703269.1,LOC123824188,zinc finger protein 577-like,ZNF577,zinc finger protein 577,,
NP_001357414,XP_045709076.1,LOC123828287,LOW QUALITY PROTEIN: olfactory receptor 7C1-like,OR7C1,olfactory receptor family 7 subfamily C member 1,,
NP_001357568,XP_045676893.1,LOC123807258,LOW QUALITY PROTEIN: olfactory receptor 1F1,OR1F1,olfactory receptor family 1 subfamily F member 1,,
NP_001358487,XP_045714028.1,LOC123831253,C-X-C motif chemokine 15-like,CXCL13,C-X-C motif chemokine ligand 13,,
NP_001361336,XP_045700713.1,LOC123822660,DNA-directed RNA polymerases I and III subunit RPAC2,POLR1D,RNA polymerase I and III subunit D,,
NP_001361676,XP_045697652.1,LOC123820762,N-acetyllactosaminide beta-1%2C6-N-acetylglucosaminyl-transferase isoform X1,GCNT2,glucosaminyl (N-acetyl) transferase 2 (I blood group),,
NP_001361782,XP_045711442.1,LOC123829609,serine protease FAM111A-like,FAM111A,FAM111 trypsin like peptidase A,,
NP_001362575,XP_045691518.1,LOC123816542,interferon-induced protein 44-like,IFI44L,interferon induced protein 44 like,,
NP_001362586,XP_045702364.1,LOC123823548,beta-lactoglobulin,LOC102723971,lipocalin 1-like,,
NP_001363038,XP_045702467.1,LOC123823592,spermatid perinuclear RNA-binding protein isoform X4,STRBP,spermatid perinuclear RNA binding protein,,
NP_001363829,XP_045706651.1,LOC123826663,histone-lysine N-methyltransferase PRDM9-like,PRDM9,PR/SET domain 9,,
NP_001363866,XP_045717708.1,LOC123833495,histone H3.v1-like,H3C4,H3 clustered histone 4,,
NP_001364369,XP_045677668.1,LOC123807667,LRP2-binding protein isoform X2,LRP2BP,LRP2 binding protein,,
NP_001365081,XP_045716346.1,LOC123832638,zinc finger protein 81 isoform X1,ZNF81,zinc finger protein 81,,
NP_001365366,XP_045706231.1,LOC123826286,dolichol phosphate-mannose biosynthesis regulatory protein-like,DPM2,dolichyl-phosphate mannosyltransferase subunit 2, regulatory,
NP_001365690,XP_045716166.1,LOC123832539,alpha-tectorin isoform X2,TBCEL-TECTA,TBCEL-TECTA readthrough,,
NP_001365972,XP_045692053.1,LOC123816874,histone H3.3A,H3-3A,H3.3 histone A,,
NP_001365972,XP_045716154.1,LOC123832524,histone H3.3A,H3-3A,H3.3 histone A,,
NP_001366157,XP_045708347.1,LOC123827950,melanocortin-2 receptor accessory protein,MRAP,melanocortin 2 receptor accessory protein,,
NP_001368918,XP_045706639.1,LOC123826653,histone H2B type 1-C/E/F/G/I,H2BC4,H2B clustered histone 4,,
NP_001368918,XP_045673242.1,LOC123804805,histone H2B type 1-C/E/F/G/I,H2BC4,H2B clustered histone 4,,
NP_001368918,XP_045672725.1,LOC123804463,histone H2B type 1-C/E/F/G/I,H2BC4,H2B clustered histone 4,,
NP_001368918,XP_045673237.1,LOC123804801,histone H2B type 1-C/E/F/G/I,H2BC4,H2B clustered histone 4,,
NP_001368918,XP_045673239.1,LOC123804803,histone H2B type 1-C/E/F/G/I,H2BC4,H2B clustered histone 4,,
NP_001368918,XP_045673236.1,LOC123804800,histone H2B type 1-C/E/F/G/I,H2BC4,H2B clustered histone 4,,
NP_001368932,XP_045708021.1,LOC123827533,cytochrome c oxidase copper chaperone,COX17,cytochrome c oxidase copper chaperone COX17,,
NP_001369652,XP_045682611.1,LOC123810715,PCNA-interacting partner,PARPBP,PARP1 binding protein,,
NP_001371828,XP_045677203.1,LOC123807428,testis development-related protein,TDRP,testis development related protein,,
NP_001372091,XP_045694322.1,LOC123818303,LOW QUALITY PROTEIN: major histocompatibility complex class I-related gene protein,MR1,major histocompatibility complex, class I-related,
NP_001372147,XP_045689148.1,LOC123815029,agouti-signaling protein,ASIP,agouti signaling protein,,
NP_001373017,XP_045693179.1,LOC123817504,olfactory receptor 1D2-like,OR1D2,olfactory receptor family 1 subfamily D member 2,,
NP_001373024,XP_045693137.1,LOC123817476,LOW QUALITY PROTEIN: olfactory receptor 4D1-like,OR4D1,olfactory receptor family 4 subfamily D member 1,,
NP_001373033,XP_045693473.1,LOC123817692,olfactory receptor 1A1,OR1A1,olfactory receptor family 1 subfamily A member 1,,
NP_001373037,XP_045709529.1,LOC123828520,olfactory receptor 7E24-like,OR7E24,olfactory receptor family 7 subfamily E member 24,,
NP_001373038,XP_045673164.1,LOC123804759,pancreatic alpha-amylase,AMY2B,amylase alpha 2B,,
NP_001373722,XP_045701265.1,LOC123823021,paraneoplastic antigen-like protein 8C,PNMA8C,PNMA family member 8C,,
NP_001373794,XP_045711794.1,LOC123829914,melanoma-associated antigen B3-like,MAGEB3,MAGE family member B3,,
NP_001374270,XP_045697257.1,LOC123820521,polyadenylate-binding protein 2 isoform X4,BCL2L2-PABPN1,BCL2L2-PABPN1 readthrough,,
NP_001374316,XP_045682182.1,LOC123810464,dnaJ homolog subfamily A member 1-like,DNAJA4,DnaJ heat shock protein family (Hsp40) member A4,,
NP_001374375,XP_045687967.1,LOC123814290,tubulin monoglycylase TTLL3-like,TTLL3,tubulin tyrosine ligase like 3,,
NP_001375129,XP_045714847.1,LOC123831736,rap1 GTPase-activating protein 1 isoform X4,RAP1GAP,RAP1 GTPase activating protein,,
NP_001375427,XP_045685598.1,LOC123812777,olfactory receptor 6C3,OR6C3,olfactory receptor family 6 subfamily C member 3,,
NP_001376456,XP_045699949.1,LOC123822098,trace amine-associated receptor 5,TAAR5,trace amine associated receptor 5,,
NP_001377763,XP_045694719.1,LOC123818521,protein transport protein Sec16B-like,SEC16B,SEC16 homolog B, endoplasmic reticulum export factor,
NP_001377778,XP_045685360.1,LOC123812626,olfactory receptor 8S1-like,OR8S1,olfactory receptor family 8 subfamily S member 1,,
NP_001380305,XP_045713182.1,LOC123830698,contactin-3-like,CNTN3,contactin 3,,
NP_001380415,XP_045684182.1,LOC123811768,interleukin-18 receptor accessory protein isoform X2,IL18RAP,interleukin 18 receptor accessory protein,,
NP_001380507,XP_045681110.1,LOC123809914,mas-related G-protein coupled receptor member X2-like,MRGPRX1,MAS related GPR family member X1,,
NP_001380522,XP_045688521.1,LOC123814645,apolipoprotein L3-like,APOL3,apolipoprotein L3,,
NP_001380590,XP_045696559.1,LOC123819971,major allergen Equ c 1-like,LCN9,lipocalin 9,,
NP_001380847,XP_045686822.1,LOC123813697,voltage-dependent calcium channel beta subunit-associated regulatory protein,CBARP,CACN subunit beta associated regulatory protein,,
NP_001380963,XP_045674962.1,LOC123806036,SLC35A4 upstream open reading frame protein,LOC131768270,uncharacterized LOC131768270,,
NP_001381459,XP_045673099.1,LOC123804722,lens epithelial cell protein LEP503,LENEP,lens epithelial protein,,
NP_001381757,XP_045717704.1,LOC123833490,olfactory receptor 11A1-like,OR11A1,olfactory receptor family 11 subfamily A member 1,,
NP_001382306,XP_045700118.1,LOC123822203,transmembrane protein 217,TMEM217B,transmembrane protein 217B,,
NP_001382759,XP_045709531.1,LOC123828522,LOW QUALITY PROTEIN: zinc finger protein 846-like,ZNF846,zinc finger protein 846,,
NP_001382800,XP_045710508.1,LOC123829058,RING finger protein 223,RNF228,ring finger protein 228,,
NP_001382883,XP_045687231.1,LOC123813854,uncharacterized protein LOC123813854,SMIM44,small integral membrane protein 44,,
NP_001382890,XP_045684374.1,LOC123811887,zinc finger protein 570-like,ZNF892,zinc finger protein 892,,
NP_001382891,XP_045685677.1,LOC123812837,uncharacterized LOC122455340 homolog,LOC122455340,uncharacterized LOC122455340,,
NP_001382903,XP_045689386.1,LOC123815200,zinc finger protein LOC728743 homolog isoform X1,LOC728743,zinc finger domain-containing protein LOC728743,,
NP_001382908,XP_045691949.1,LOC123816802,,LOC122455342,testis-specific serine/proline-rich protein,,
NP_001382911,XP_045701880.1,LOC123823338,ring finger protein-like,LOC122513141,ring finger protein-like,,
NP_001382924,XP_045679383.1,LOC123808644,small integral membrane protein 10-like protein 2A isoform X2,SMIM10L3,small integral membrane protein 10 like 3,,
NP_001382940,XP_045712398.1,LOC123830330,uncharacterized protein LOC123830330,SAXO3,stabilizer of axonemal microtubules 3,,
NP_001382980,XP_045674031.1,LOC123805471,olfactory receptor 51F2-like,OR51C1P,olfactory receptor family 51 subfamily C member 1 pseudogene,,
NP_001382985,XP_045680645.1,LOC123809488,olfactory receptor 1L4,OR1R1P,olfactory receptor family 1 subfamily R member 1 pseudogene,,
NP_001382986,XP_045695520.1,LOC123819258,LOW QUALITY PROTEIN: putative olfactory receptor 56B2,OR56B2P,olfactory receptor family 56 subfamily B member 2 pseudogene,,
NP_001382988,XP_045716046.1,LOC123832441,olfactory receptor 5D13-like,OR5D3P,olfactory receptor family 5 subfamily D member 3 pseudogene,,
NP_001382990,XP_045685355.1,LOC123812623,olfactory receptor 8S1-like,OR5BS1P,olfactory receptor family 5 subfamily BS member 1 pseudogene,,
NP_001382999,XP_045686711.1,LOC123813641,putative tripartite motif-containing protein 75,TRIM75,tripartite motif containing 75,,
NP_001383447,XP_045682717.1,LOC123810919,uncharacterized protein LOC123810919,TUG1,taurine up-regulated 1,,
NP_001387330,XP_045675006.1,LOC123806052,core histone macro-H2A.1 isoform X1,MACROH2A1,macroH2A.1 histone,,
NP_001393,XP_045699138.1,LOC123821612,elongation factor 1-alpha 1,EEF1A1,eukaryotic translation elongation factor 1 alpha 1,,
NP_001394375,XP_045693874.1,LOC123818075,adenomatous polyposis coli protein isoform X1,APC,APC regulator of WNT signaling pathway,,
NP_001398,XP_045712526.1,LOC123830398,cadherin EGF LAG seven-pass G-type receptor 3-like isoform X5,CELSR3,cadherin EGF LAG seven-pass G-type receptor 3,,
NP_001398062,XP_045702587.1,LOC123823672,cyclin-P,CCNP,cyclin P,,
NP_001400621,XP_045685141.1,LOC123812449,putative ATP-dependent RNA helicase DDX11-like protein 8 isoform X1,DDX11,DEAD/H-box helicase 11,,
NP_001401432,XP_045704475.1,LOC123825182,mitochondrial ribonuclease P catalytic subunit isoform X1,PRORP,protein only RNase P catalytic subunit,,
NP_001401624,XP_045690792.1,LOC123816094,MIEF1 upstream open reading frame protein,MIURF,mitochondrial elongation factor 1 upstream open reading frame,,
NP_001401833,XP_045687765.1,LOC123814168,tripartite motif-containing protein 60-like,TRIM61,tripartite motif containing 61,,
NP_001433,XP_045705475.1,LOC123825851,fatty acid-binding protein%2C adipocyte,FABP4,fatty acid binding protein 4,,
NP_001451,XP_045694501.1,LOC123818391,dimethylaniline monooxygenase [N-oxide-forming] 2-like,FMO2,flavin containing dimethylaniline monoxygenase 2,,
NP_001503,XP_045698987.1,LOC123821553,glutathione S-transferase A4,GSTA4,glutathione S-transferase alpha 4,,
NP_001539,XP_045710580.1,LOC123829095,interferon-induced protein with tetratricopeptide repeats 1-like,IFIT1,interferon induced protein with tetratricopeptide repeats 1,,
NP_001622,XP_045701652.1,LOC123823214,intestinal-type alkaline phosphatase-like,ALPI,alkaline phosphatase, intestinal,
NP_001624,XP_045696433.1,LOC123819868,protein AMBP,AMBP,alpha-1-microglobulin/bikunin precursor,,
NP_001660,XP_045712115.1,LOC123830145,arylsulfatase D-like,ARSD,arylsulfatase D,,
NP_001748,XP_045708441.1,LOC123828001,carbonyl reductase [NADPH] 1,CBR1,carbonyl reductase 1,,
NP_001755,XP_045697469.1,LOC123820644,T-cell surface glycoprotein CD1b-2-like isoform X1,CD1B,CD1b molecule,,
NP_001772,XP_045695684.1,LOC123819391,early activation antigen CD69-like,CD69,CD69 molecule,,
NP_001798,XP_045702291.1,LOC123823511,bile salt-activated lipase-like,CEL,carboxyl ester lipase,,
NP_001827,XP_045697147.1,LOC123820465,chymase-like isoform X1,CMA1,chymase 1,,
NP_001853,XP_045683099.1,LOC123811145,cytochrome c oxidase subunit 5B%2C mitochondrial,COX5B,cytochrome c oxidase subunit 5B,,
NP_001854,XP_045702806.1,LOC123823826,cytochrome c oxidase subunit 6B1,COX6B1,cytochrome c oxidase subunit 6B1,,
NP_001855,XP_045702666.1,LOC123823748,cytochrome c oxidase subunit 7A1%2C mitochondrial,COX7A1,cytochrome c oxidase subunit 7A1,,
NP_001857,XP_045703399.1,LOC123824316,cytochrome c oxidase subunit 7B%2C mitochondrial,COX7B,cytochrome c oxidase subunit 7B,,
NP_001858,XP_045704198.1,LOC123824839,cytochrome c oxidase subunit 7C%2C mitochondrial,COX7C,cytochrome c oxidase subunit 7C,,
NP_001873,XP_045704161.1,LOC123824800,corticotropin-releasing factor-binding protein,CRHBP,corticotropin releasing hormone binding protein,,
NP_001902,XP_045697089.1,LOC123820422,LOW QUALITY PROTEIN: cathepsin G-like,CTSG,cathepsin G,,
NP_001907,XP_045716891.1,LOC123832975,cytochrome c1%2C heme protein%2C mitochondrial,CYC1,cytochrome c1,,
NP_001919,XP_045687323.1,LOC123813919,transmembrane protease serine 9-like,CFD,complement factor D,,
NP_001933,XP_045706081.1,LOC123826172,LOW QUALITY PROTEIN: desmoglein-1-like,DSG1,desmoglein 1,,
NP_001968,XP_045676292.1,LOC123806888,glutamyl aminopeptidase,ENPEP,glutamyl aminopeptidase,,
NP_002007,XP_045672909.1,LOC123804592,filaggrin-like,FLG,filaggrin,,
NP_002044,XP_045697010.1,LOC123820360,guanylate-binding protein 1-like,GBP1,guanylate binding protein 1,,
NP_002046,XP_045693526.1,LOC123817733,glial fibrillary acidic protein isoform X2,GFAP,glial fibrillary acidic protein,,
NP_002063,XP_045696106.1,LOC123819693,guanine nucleotide-binding protein G(q) subunit alpha,GNAQ,G protein subunit alpha q,,
NP_002080,XP_045714005.1,LOC123831238,growth-regulated protein homolog,CXCL2,C-X-C motif chemokine ligand 2,,
NP_002096,XP_045695118.1,LOC123818840,histone H2AX,H2AX,H2A.X variant histone,,
NP_002097,XP_045676138.1,LOC123806815,histone H2A.Z,H2AZ1,H2A.Z variant histone 1,,
NP_002109,XP_045691088.1,LOC123816250,HLA class II histocompatibility antigen%2C DM beta chain,HLA-DMB,major histocompatibility complex, class II, DM beta
